Age (Range),annotation_Acceptance by others,annotation_Access to area,annotation_Access to finance,annotation_Accessibility to services,annotation_Aesthetics,annotation_Altruism,annotation_Appeal (senses),annotation_Aspiration,annotation_Asset,annotation_Availability of goods/products,annotation_Barter trade,annotation_Being healthy,annotation_Being informed,annotation_Being understood,annotation_Caring for others,annotation_Clean Air,annotation_Collaboration,annotation_Comfort,annotation_Community development,annotation_Connection,annotation_Consensus,annotation_Continuous costs,annotation_Diversity,annotation_Duty (role fulfilling),annotation_Ease of use,annotation_Entertainment,annotation_Entrepreneurship,annotation_Equality,annotation_Faith,annotation_Fixed costs,annotation_Food Security,annotation_Freedom of choice,annotation_Freedom of expression,annotation_Freedom to move,annotation_Home (feeling),annotation_Hygiene & Sanitation,annotation_Income,annotation_Innovation,annotation_Knowledge attainment (learning),annotation_Medical treatment,annotation_Mental health,annotation_Morality,annotation_Multipurpose,annotation_Ownership,annotation_Personal growth,annotation_Personal performance,annotation_Practical skill attainment,annotation_Preservation of natural environment,annotation_Privacy,annotation_Quality,annotation_Recreation,annotation_Reliability,annotation_Respect from others,"annotation_Safety (from animals, items, nature)",annotation_Security (from people),annotation_Self-worth,annotation_Shelter,annotation_Support network,annotation_Time benefit,annotation_Time management,annotation_Togetherness (loved ones),annotation_Tradition,annotation_Transportation (of goods),annotation_Travel (of people),annotation_Trust,annotation_Unburden,annotation_Understanding others,annotation_Water Security,annotation_Wellbeing,annotation_Yield
18 - 25,0.0,0.03968253968253968,0.03968253968253968,0.07936507936507936,0.05555555555555555,0.007936507936507936,0.0,0.015873015873015872,0.023809523809523808,0.05555555555555555,0.015873015873015872,0.07936507936507936,0.1111111111111111,0.0,0.023809523809523808,0.047619047619047616,0.007936507936507936,0.03968253968253968,0.007936507936507936,0.1984126984126984,0.0,0.05555555555555555,0.0,0.023809523809523808,0.03968253968253968,0.023809523809523808,0.031746031746031744,0.0,0.0873015873015873,0.07142857142857142,0.30952380952380953,0.007936507936507936,0.0,0.0,0.0,0.07142857142857142,0.09523809523809523,0.031746031746031744,0.10317460317460317,0.0873015873015873,0.023809523809523808,0.007936507936507936,0.20634920634920634,0.007936507936507936,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.2222222222222222,0.1111111111111111,0.10317460317460317,0.0,0.07142857142857142,0.007936507936507936,0.30952380952380953,0.05555555555555555,0.0,0.23015873015873015,0.06349206349206349,0.023809523809523808,0.0,0.007936507936507936,0.015873015873015872,0.11904761904761904,0.0873015873015873,0.0,0.0873015873015873,0.0,0.2777777777777778,0.007936507936507936,0.15079365079365079
25 - 30,0.005714285714285714,0.017142857142857144,0.06857142857142857,0.11428571428571428,0.08571428571428572,0.005714285714285714,0.005714285714285714,0.011428571428571429,0.02857142857142857,0.09142857142857143,0.045714285714285714,0.12571428571428572,0.17714285714285713,0.005714285714285714,0.022857142857142857,0.03428571428571429,0.005714285714285714,0.07428571428571429,0.022857142857142857,0.26285714285714284,0.0,0.06285714285714286,0.0,0.0,0.017142857142857144,0.02857142857142857,0.03428571428571429,0.0,0.16,0.05714285714285714,0.32571428571428573,0.005714285714285714,0.0,0.0,0.005714285714285714,0.08571428571428572,0.10857142857142857,0.04,0.12571428571428572,0.10285714285714286,0.022857142857142857,0.05714285714285714,0.29714285714285715,0.0,0.017142857142857144,0.04,0.08571428571428572,0.21714285714285714,0.09142857142857143,0.07428571428571429,0.011428571428571429,0.10857142857142857,0.011428571428571429,0.3028571428571429,0.11428571428571428,0.017142857142857144,0.2342857142857143,0.05142857142857143,0.017142857142857144,0.02857142857142857,0.011428571428571429,0.022857142857142857,0.08571428571428572,0.07428571428571429,0.005714285714285714,0.06285714285714286,0.005714285714285714,0.28,0.017142857142857144,0.12
30 - 35,0.0070921985815602835,0.0425531914893617,0.10638297872340426,0.1347517730496454,0.09219858156028368,0.0070921985815602835,0.0,0.02127659574468085,0.0425531914893617,0.10638297872340426,0.014184397163120567,0.14893617021276595,0.20567375886524822,0.0,0.05673758865248227,0.09929078014184398,0.0,0.12056737588652482,0.03546099290780142,0.2978723404255319,0.0070921985815602835,0.04964539007092199,0.0,0.028368794326241134,0.0425531914893617,0.028368794326241134,0.06382978723404255,0.0,0.16312056737588654,0.14893617021276595,0.3617021276595745,0.0070921985815602835,0.0070921985815602835,0.0,0.014184397163120567,0.09219858156028368,0.14184397163120568,0.0070921985815602835,0.14184397163120568,0.12056737588652482,0.03546099290780142,0.06382978723404255,0.2978723404255319,0.03546099290780142,0.028368794326241134,0.05673758865248227,0.11347517730496454,0.2553191489361702,0.1276595744680851,0.12056737588652482,0.0,0.11347517730496454,0.0,0.3404255319148936,0.09219858156028368,0.014184397163120567,0.2907801418439716,0.1276595744680851,0.03546099290780142,0.02127659574468085,0.028368794326241134,0.014184397163120567,0.0851063829787234,0.1347517730496454,0.0,0.1276595744680851,0.028368794326241134,0.3120567375886525,0.028368794326241134,0.14184397163120568
35 - 40,0.0,0.03571428571428571,0.02142857142857143,0.12142857142857143,0.07142857142857142,0.0,0.0,0.007142857142857143,0.014285714285714285,0.09285714285714286,0.02857142857142857,0.1,0.1357142857142857,0.0,0.04285714285714286,0.02857142857142857,0.0,0.05714285714285714,0.03571428571428571,0.2571428571428571,0.0,0.05,0.007142857142857143,0.007142857142857143,0.02142857142857143,0.014285714285714285,0.05714285714285714,0.0,0.12857142857142856,0.03571428571428571,0.3,0.0,0.0,0.0,0.007142857142857143,0.07857142857142857,0.1,0.02142857142857143,0.1,0.1,0.02857142857142857,0.014285714285714285,0.22857142857142856,0.014285714285714285,0.02142857142857143,0.02142857142857143,0.07142857142857142,0.20714285714285716,0.1,0.1,0.014285714285714285,0.06428571428571428,0.014285714285714285,0.2857142857142857,0.15,0.014285714285714285,0.21428571428571427,0.06428571428571428,0.03571428571428571,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.15714285714285714,0.12142857142857143,0.0,0.11428571428571428,0.0,0.25,0.02857142857142857,0.10714285714285714
40 - 45,0.01904761904761905,0.01904761904761905,0.05714285714285714,0.10476190476190476,0.0380952380952381,0.01904761904761905,0.0,0.01904761904761905,0.01904761904761905,0.06666666666666667,0.01904761904761905,0.08571428571428572,0.10476190476190476,0.009523809523809525,0.01904761904761905,0.02857142857142857,0.0,0.047619047619047616,0.0380952380952381,0.22857142857142856,0.0,0.047619047619047616,0.0,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.047619047619047616,0.0,0.09523809523809523,0.0761904761904762,0.26666666666666666,0.0,0.0,0.0,0.01904761904761905,0.047619047619047616,0.12380952380952381,0.0380952380952381,0.1523809523809524,0.11428571428571428,0.02857142857142857,0.047619047619047616,0.22857142857142856,0.02857142857142857,0.01904761904761905,0.0380952380952381,0.11428571428571428,0.1619047619047619,0.06666666666666667,0.0761904761904762,0.0,0.05714285714285714,0.01904761904761905,0.21904761904761905,0.08571428571428572,0.009523809523809525,0.20952380952380953,0.0761904761904762,0.01904761904761905,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.0761904761904762,0.11428571428571428,0.0,0.08571428571428572,0.01904761904761905,0.20952380952380953,0.01904761904761905,0.10476190476190476
45 - 50,0.0,0.034482758620689655,0.05172413793103448,0.12931034482758622,0.11206896551724138,0.034482758620689655,0.0,0.02586206896551724,0.05172413793103448,0.07758620689655173,0.05172413793103448,0.09482758620689655,0.21551724137931033,0.0,0.0603448275862069,0.034482758620689655,0.0,0.05172413793103448,0.034482758620689655,0.2413793103448276,0.0,0.02586206896551724,0.008620689655172414,0.017241379310344827,0.017241379310344827,0.0603448275862069,0.034482758620689655,0.0,0.13793103448275862,0.07758620689655173,0.27586206896551724,0.0,0.017241379310344827,0.0,0.008620689655172414,0.0603448275862069,0.13793103448275862,0.02586206896551724,0.13793103448275862,0.07758620689655173,0.017241379310344827,0.04310344827586207,0.22413793103448276,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.07758620689655173,0.23275862068965517,0.09482758620689655,0.08620689655172414,0.0,0.10344827586206896,0.017241379310344827,0.3275862068965517,0.13793103448275862,0.008620689655172414,0.23275862068965517,0.08620689655172414,0.02586206896551724,0.02586206896551724,0.008620689655172414,0.017241379310344827,0.07758620689655173,0.12931034482758622,0.0,0.08620689655172414,0.008620689655172414,0.2413793103448276,0.017241379310344827,0.12931034482758622
55 - 60,0.0,0.025,0.05,0.1,0.1,0.0,0.0125,0.0125,0.025,0.075,0.05,0.1,0.1125,0.0,0.0375,0.0375,0.0125,0.05,0.0375,0.275,0.0125,0.0625,0.0,0.0125,0.0,0.0375,0.05,0.0,0.15,0.075,0.35,0.0,0.0125,0.0,0.0125,0.0625,0.0875,0.0,0.15,0.1,0.0,0.075,0.3125,0.0625,0.025,0.0375,0.1125,0.2125,0.0875,0.15,0.025,0.0625,0.025,0.3,0.1125,0.0,0.2625,0.125,0.0125,0.0125,0.025,0.025,0.1125,0.1375,0.0,0.0625,0.0,0.3125,0.0,0.15
60 - 65,0.0,0.015151515151515152,0.07575757575757576,0.09090909090909091,0.09090909090909091,0.030303030303030304,0.0,0.045454545454545456,0.015151515151515152,0.12121212121212122,0.06060606060606061,0.15151515151515152,0.16666666666666666,0.0,0.045454545454545456,0.06060606060606061,0.015151515151515152,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.030303030303030304,0.045454545454545456,0.0,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.13636363636363635,0.09090909090909091,0.3181818181818182,0.0,0.0,0.030303030303030304,0.0,0.09090909090909091,0.07575757575757576,0.0,0.15151515151515152,0.045454545454545456,0.030303030303030304,0.015151515151515152,0.2878787878787879,0.015151515151515152,0.015151515151515152,0.045454545454545456,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.10606060606060606,0.0,0.09090909090909091,0.015151515151515152,0.2878787878787879,0.09090909090909091,0.0,0.19696969696969696,0.07575757575757576,0.030303030303030304,0.0,0.015151515151515152,0.015151515151515152,0.10606060606060606,0.030303030303030304,0.0,0.09090909090909091,0.0,0.2878787878787879,0.0,0.06060606060606061
65 - 70,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.15151515151515152,0.0,0.0,0.030303030303030304,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.12121212121212122,0.21212121212121213,0.030303030303030304,0.0,0.06060606060606061,0.0,0.09090909090909091,0.0,0.2727272727272727,0.0,0.06060606060606061,0.0,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.21212121212121213,0.06060606060606061,0.3333333333333333,0.0,0.0,0.0,0.0,0.06060606060606061,0.09090909090909091,0.0,0.15151515151515152,0.12121212121212122,0.09090909090909091,0.15151515151515152,0.2727272727272727,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.21212121212121213,0.15151515151515152,0.09090909090909091,0.0,0.09090909090909091,0.030303030303030304,0.2727272727272727,0.15151515151515152,0.06060606060606061,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.12121212121212122,0.15151515151515152,0.0,0.12121212121212122,0.0,0.30303030303030304,0.030303030303030304,0.15151515151515152
75 - 80,0.0,0.0,0.0,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.07692307692307693,0.1794871794871795,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.02564102564102564,0.10256410256410256,0.0,0.0,0.0,0.15384615384615385,0.05128205128205128,0.20512820512820512,0.0,0.0,0.0,0.0,0.07692307692307693,0.02564102564102564,0.0,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0.28205128205128205,0.0,0.0,0.0,0.02564102564102564,0.15384615384615385,0.07692307692307693,0.05128205128205128,0.0,0.10256410256410256,0.0,0.28205128205128205,0.1282051282051282,0.02564102564102564,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.0,0.05128205128205128,0.02564102564102564,0.0,0.02564102564102564,0.0,0.2564102564102564,0.02564102564102564,0.05128205128205128
