What is the monthly total income of your household (KES)?,Of these appliances which is the least valuable?_Computer,Of these appliances which is the least valuable?_Electric Iron,Of these appliances which is the least valuable?_Electric Pressure Cooker,Of these appliances which is the least valuable?_Fan,Of these appliances which is the least valuable?_Fridge,Of these appliances which is the least valuable?_Gas Stove,Of these appliances which is the least valuable?_Generator,Of these appliances which is the least valuable?_Grain Mill,Of these appliances which is the least valuable?_Grinder,Of these appliances which is the least valuable?_Irrigation Pump,Of these appliances which is the least valuable?_Mobile Phone,Of these appliances which is the least valuable?_Radio,Of these appliances which is the least valuable?_Stove,Of these appliances which is the least valuable?_TV,Of these appliances which is the least valuable?_Torch,Of these appliances which is the least valuable?_Water Pump
500.0,0.0945945945945946,0.10810810810810811,0.0,0.32432432432432434,0.13513513513513514,0.05405405405405406,0.02702702702702703,0.0,0.013513513513513514,0.04054054054054054,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.0,0.0
1000.0,0.1375,0.025,0.0125,0.1625,0.125,0.05,0.0625,0.0,0.025,0.05,0.0125,0.0375,0.05,0.0,0.0,0.0
2000.0,0.10303030303030303,0.05454545454545454,0.030303030303030304,0.2,0.22424242424242424,0.04242424242424243,0.012121212121212121,0.006060606060606061,0.03636363636363636,0.01818181818181818,0.024242424242424242,0.006060606060606061,0.006060606060606061,0.024242424242424242,0.0,0.03636363636363636
5000.0,0.06278026905829596,0.05829596412556054,0.026905829596412557,0.16143497757847533,0.19730941704035873,0.04035874439461883,0.017937219730941704,0.013452914798206279,0.017937219730941704,0.02242152466367713,0.008968609865470852,0.03139013452914798,0.013452914798206279,0.04035874439461883,0.017937219730941704,0.004484304932735426
10000.0,0.08421052631578947,0.042105263157894736,0.03684210526315789,0.2578947368421053,0.15263157894736842,0.02631578947368421,0.02631578947368421,0.03684210526315789,0.021052631578947368,0.015789473684210527,0.005263157894736842,0.010526315789473684,0.010526315789473684,0.03684210526315789,0.005263157894736842,0.010526315789473684
15000.0,0.047619047619047616,0.09523809523809523,0.0761904761904762,0.17142857142857143,0.19047619047619047,0.01904761904761905,0.01904761904761905,0.009523809523809525,0.02857142857142857,0.05714285714285714,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.0380952380952381,0.01904761904761905,0.0
20000.0,0.08108108108108109,0.12162162162162163,0.04054054054054054,0.21621621621621623,0.0945945945945946,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.0,0.02702702702702703,0.013513513513513514,0.06756756756756757,0.013513513513513514,0.02702702702702703
25000.0,0.125,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.16666666666666666,0.0,0.125,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664
30000.0,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.2857142857142857,0.11428571428571428,0.0,0.02857142857142857,0.05714285714285714,0.0,0.02857142857142857,0.05714285714285714,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857
35000.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
45000.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,0.1,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0
55000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
