What is the monthly total income of your household (KES)?,Of these appliances which is the most valuable?_Computer,Of these appliances which is the most valuable?_Electric Iron,Of these appliances which is the most valuable?_Fan,Of these appliances which is the most valuable?_Fridge,Of these appliances which is the most valuable?_Gas Stove,Of these appliances which is the most valuable?_Generator,Of these appliances which is the most valuable?_Grain Mill,Of these appliances which is the most valuable?_Grinder,Of these appliances which is the most valuable?_Irrigation Pump,Of these appliances which is the most valuable?_Mobile Phone,Of these appliances which is the most valuable?_Radio,Of these appliances which is the most valuable?_Stove,Of these appliances which is the most valuable?_TV,Of these appliances which is the most valuable?_Torch,Of these appliances which is the most valuable?_Water Pump
500.0,0.0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,0.0,0.06756756756756757,0.0,0.02702702702702703,0.40540540540540543,0.0945945945945946,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.14864864864864866
1000.0,0.0,0.0,0.0125,0.0125,0.025,0.0,0.05,0.0,0.05,0.4125,0.0875,0.0125,0.0125,0.0125,0.1125
2000.0,0.006060606060606061,0.0,0.006060606060606061,0.012121212121212121,0.006060606060606061,0.0,0.024242424242424242,0.0,0.05454545454545454,0.4727272727272727,0.05454545454545454,0.0,0.030303030303030304,0.01818181818181818,0.15151515151515152
5000.0,0.0,0.0,0.008968609865470852,0.0,0.013452914798206279,0.008968609865470852,0.03139013452914798,0.0,0.04932735426008968,0.39461883408071746,0.08968609865470852,0.004484304932735426,0.03587443946188341,0.02242152466367713,0.08968609865470852
10000.0,0.0,0.005263157894736842,0.005263157894736842,0.0,0.010526315789473684,0.005263157894736842,0.021052631578947368,0.0,0.042105263157894736,0.47368421052631576,0.11578947368421053,0.015789473684210527,0.042105263157894736,0.0,0.05263157894736842
15000.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.0,0.01904761904761905,0.0,0.0761904761904762,0.5523809523809524,0.02857142857142857,0.009523809523809525,0.047619047619047616,0.01904761904761905,0.0761904761904762
20000.0,0.013513513513513514,0.0,0.0,0.013513513513513514,0.0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.08108108108108109,0.5135135135135135,0.04054054054054054,0.0,0.04054054054054054,0.0,0.08108108108108109
25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.5416666666666666,0.125,0.0,0.0,0.041666666666666664,0.041666666666666664
30000.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.08571428571428572,0.34285714285714286,0.11428571428571428,0.0,0.02857142857142857,0.0,0.17142857142857143
35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5
40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0
45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.2,0.0,0.2
55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
