What is your main occupation?,Of these appliances which is the most valuable?_Computer,Of these appliances which is the most valuable?_Electric Iron,Of these appliances which is the most valuable?_Fan,Of these appliances which is the most valuable?_Fridge,Of these appliances which is the most valuable?_Gas Stove,Of these appliances which is the most valuable?_Generator,Of these appliances which is the most valuable?_Grain Mill,Of these appliances which is the most valuable?_Grinder,Of these appliances which is the most valuable?_Irrigation Pump,Of these appliances which is the most valuable?_Mobile Phone,Of these appliances which is the most valuable?_Radio,Of these appliances which is the most valuable?_Stove,Of these appliances which is the most valuable?_TV,Of these appliances which is the most valuable?_Torch,Of these appliances which is the most valuable?_Water Pump
Accountant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Farmer-animals,0.0,0.0,0.0,0.008403361344537815,0.0,0.008403361344537815,0.06722689075630252,0.0,0.03361344537815126,0.5546218487394958,0.06722689075630252,0.0,0.01680672268907563,0.0,0.07563025210084033
Farmer-crops,0.0,0.006289308176100629,0.0,0.006289308176100629,0.018867924528301886,0.006289308176100629,0.018867924528301886,0.0,0.050314465408805034,0.49056603773584906,0.11320754716981132,0.0,0.025157232704402517,0.018867924528301886,0.06289308176100629
Fisherman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0
Government jobholder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142
Housework unpaid,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.48,0.12,0.0,0.0,0.0,0.04
IT sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Other,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.043478260869565216,0.45652173913043476,0.06521739130434782,0.0,0.021739130434782608,0.0,0.10869565217391304
Private jobholder,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.058823529411764705,0.5588235294117647,0.14705882352941177,0.058823529411764705,0.0,0.029411764705882353,0.0
Retired,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,0.0
Small business employee,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.09090909090909091,0.0,0.06060606060606061,0.5757575757575758,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304
Small business owner,0.006896551724137931,0.0,0.0,0.0,0.020689655172413793,0.0,0.006896551724137931,0.0,0.06206896551724138,0.4068965517241379,0.08275862068965517,0.0,0.06896551724137931,0.020689655172413793,0.1724137931034483
Student,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.6111111111111112,0.0,0.0,0.08333333333333333,0.0,0.05555555555555555
Teacher,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.36363636363636365,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.2727272727272727
Unemployed,0.0027397260273972603,0.0,0.0136986301369863,0.00821917808219178,0.005479452054794521,0.005479452054794521,0.0273972602739726,0.0027397260273972603,0.07123287671232877,0.36164383561643837,0.09315068493150686,0.00821917808219178,0.03561643835616438,0.01643835616438356,0.11506849315068493
