,0
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Clothes",0.6389684813753582
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_House",0.6217765042979942
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Mobile Phone",0.4880611270296084
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Money",0.3314231136580707
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Bible",0.31805157593123207
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Borehole",0.24641833810888253
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Water",0.24450811843361986
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Hospital",0.17000955109837632
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Electricity",0.16809933142311365
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Jerrycan",0.15472779369627507
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Motorcycle",0.11556829035339064
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Vegetables",0.1069723018147087
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_School",0.09933142311365807
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Doctor",0.08404966571155682
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Furniture",0.08213944603629417
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Donkey and Cart",0.08022922636103152
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Road",0.07163323782234957
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Battery",0.07067812798471824
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Bike",0.07067812798471824
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Corrugated Iron Sheet",0.06208213944603629
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Solar PV System",0.055396370582617004
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Car",0.05348615090735435
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Wheelbarrow",0.044890162368672396
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_River",0.038204393505253106
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Grain Mill",0.03724928366762178
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Stove",0.03724928366762178
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Irrigation",0.03724928366762178
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Light Bulb",0.03629417382999045
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Wood Stove",0.03629417382999045
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Medicine",0.033428844317096466
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Toilet Squat",0.03247373447946514
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Rainwater Harvesting System",0.03247373447946514
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Torch",0.03151862464183381
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Gas Stove",0.025787965616045846
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Disposable Sanitary Pad",0.021967526265520534
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Computer",0.02005730659025788
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Water Pump",0.014326647564469915
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Overhead Water Tank",0.014326647564469915
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Boat",0.013371537726838587
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Kerosene Lantern",0.011461318051575931
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Fridge",0.008595988538681949
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Watering Can",0.004775549188156638
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Toilet Flush",0.0038204393505253103
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Generator",0.0038204393505253103
"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important_Grinder",0.0019102196752626551
