Age (Range),Of these appliances which is the least valuable?_Computer,Of these appliances which is the least valuable?_Electric Iron,Of these appliances which is the least valuable?_Electric Pressure Cooker,Of these appliances which is the least valuable?_Fan,Of these appliances which is the least valuable?_Fridge,Of these appliances which is the least valuable?_Gas Stove,Of these appliances which is the least valuable?_Generator,Of these appliances which is the least valuable?_Grain Mill,Of these appliances which is the least valuable?_Grinder,Of these appliances which is the least valuable?_Irrigation Pump,Of these appliances which is the least valuable?_Mobile Phone,Of these appliances which is the least valuable?_Radio,Of these appliances which is the least valuable?_Stove,Of these appliances which is the least valuable?_TV,Of these appliances which is the least valuable?_Torch,Of these appliances which is the least valuable?_Water Pump
18 - 25,0.07142857142857142,0.06349206349206349,0.0,0.23809523809523808,0.16666666666666666,0.03968253968253968,0.07142857142857142,0.023809523809523808,0.015873015873015872,0.031746031746031744,0.0,0.023809523809523808,0.0,0.031746031746031744,0.007936507936507936,0.0
25 - 30,0.06285714285714286,0.06857142857142857,0.02857142857142857,0.16,0.16,0.04,0.03428571428571429,0.04,0.022857142857142857,0.045714285714285714,0.011428571428571429,0.02857142857142857,0.03428571428571429,0.022857142857142857,0.02857142857142857,0.005714285714285714
30 - 35,0.07801418439716312,0.05673758865248227,0.028368794326241134,0.28368794326241137,0.15602836879432624,0.028368794326241134,0.03546099290780142,0.0070921985815602835,0.0,0.0425531914893617,0.0070921985815602835,0.0070921985815602835,0.014184397163120567,0.0425531914893617,0.014184397163120567,0.014184397163120567
35 - 40,0.08571428571428572,0.07857142857142857,0.05714285714285714,0.24285714285714285,0.18571428571428572,0.02857142857142857,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.007142857142857143,0.03571428571428571,0.02857142857142857,0.014285714285714285
40 - 45,0.06666666666666667,0.06666666666666667,0.0380952380952381,0.19047619047619047,0.14285714285714285,0.02857142857142857,0.009523809523809525,0.0,0.047619047619047616,0.009523809523809525,0.009523809523809525,0.0380952380952381,0.009523809523809525,0.01904761904761905,0.01904761904761905,0.0
45 - 50,0.09482758620689655,0.07758620689655173,0.04310344827586207,0.1724137931034483,0.14655172413793102,0.034482758620689655,0.008620689655172414,0.017241379310344827,0.02586206896551724,0.034482758620689655,0.008620689655172414,0.017241379310344827,0.02586206896551724,0.04310344827586207,0.04310344827586207,0.034482758620689655
55 - 60,0.05,0.05,0.05,0.1375,0.2625,0.025,0.0125,0.0125,0.025,0.0,0.025,0.025,0.0,0.05,0.025,0.0125
60 - 65,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.25757575757575757,0.16666666666666666,0.015151515151515152,0.015151515151515152,0.0,0.015151515151515152,0.030303030303030304,0.0,0.030303030303030304,0.0,0.015151515151515152,0.030303030303030304,0.045454545454545456
65 - 70,0.06060606060606061,0.030303030303030304,0.0,0.21212121212121213,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0
75 - 80,0.28205128205128205,0.07692307692307693,0.02564102564102564,0.1794871794871795,0.02564102564102564,0.07692307692307693,0.0,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564
