Age (Range),Of these appliances which is the most valuable?_Computer,Of these appliances which is the most valuable?_Electric Iron,Of these appliances which is the most valuable?_Fan,Of these appliances which is the most valuable?_Fridge,Of these appliances which is the most valuable?_Gas Stove,Of these appliances which is the most valuable?_Generator,Of these appliances which is the most valuable?_Grain Mill,Of these appliances which is the most valuable?_Grinder,Of these appliances which is the most valuable?_Irrigation Pump,Of these appliances which is the most valuable?_Mobile Phone,Of these appliances which is the most valuable?_Radio,Of these appliances which is the most valuable?_Stove,Of these appliances which is the most valuable?_TV,Of these appliances which is the most valuable?_Torch,Of these appliances which is the most valuable?_Water Pump
18 - 25,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.031746031746031744,0.0,0.015873015873015872,0.5396825396825397,0.06349206349206349,0.007936507936507936,0.031746031746031744,0.007936507936507936,0.1349206349206349
25 - 30,0.005714285714285714,0.0,0.005714285714285714,0.005714285714285714,0.022857142857142857,0.005714285714285714,0.022857142857142857,0.0,0.08,0.41714285714285715,0.09142857142857143,0.0,0.03428571428571429,0.0,0.09714285714285714
30 - 35,0.0,0.0,0.0,0.0070921985815602835,0.0070921985815602835,0.0,0.03546099290780142,0.0,0.06382978723404255,0.48936170212765956,0.0425531914893617,0.014184397163120567,0.05673758865248227,0.0070921985815602835,0.07801418439716312
35 - 40,0.0,0.007142857142857143,0.007142857142857143,0.0,0.014285714285714285,0.0,0.04285714285714286,0.0,0.07142857142857142,0.40714285714285714,0.09285714285714286,0.007142857142857143,0.03571428571428571,0.007142857142857143,0.1357142857142857
40 - 45,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0380952380952381,0.41904761904761906,0.047619047619047616,0.0,0.05714285714285714,0.01904761904761905,0.13333333333333333
45 - 50,0.008620689655172414,0.0,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.0,0.02586206896551724,0.0,0.04310344827586207,0.45689655172413796,0.06896551724137931,0.017241379310344827,0.04310344827586207,0.017241379310344827,0.10344827586206896
55 - 60,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0125,0.0125,0.05,0.525,0.1,0.0,0.0125,0.0125,0.0625
60 - 65,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.015151515151515152,0.0,0.12121212121212122,0.4090909090909091,0.21212121212121213,0.0,0.030303030303030304,0.0,0.030303030303030304
65 - 70,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.2727272727272727,0.18181818181818182,0.030303030303030304,0.0,0.06060606060606061,0.15151515151515152
75 - 80,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.41025641025641024,0.20512820512820512,0.0,0.0,0.07692307692307693,0.0
