Total household size,Of these appliances which is the most valuable?_Computer,Of these appliances which is the most valuable?_Electric Iron,Of these appliances which is the most valuable?_Fan,Of these appliances which is the most valuable?_Fridge,Of these appliances which is the most valuable?_Gas Stove,Of these appliances which is the most valuable?_Generator,Of these appliances which is the most valuable?_Grain Mill,Of these appliances which is the most valuable?_Grinder,Of these appliances which is the most valuable?_Irrigation Pump,Of these appliances which is the most valuable?_Mobile Phone,Of these appliances which is the most valuable?_Radio,Of these appliances which is the most valuable?_Stove,Of these appliances which is the most valuable?_TV,Of these appliances which is the most valuable?_Torch,Of these appliances which is the most valuable?_Water Pump
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.68,0.04,0.0,0.0,0.04,0.12
2.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.15789473684210525,0.0,0.05263157894736842,0.02631578947368421,0.07894736842105263
3.0,0.0,0.0,0.021505376344086023,0.010752688172043012,0.0,0.0,0.03225806451612903,0.0,0.043010752688172046,0.5376344086021505,0.08602150537634409,0.0,0.03225806451612903,0.03225806451612903,0.07526881720430108
4.0,0.0,0.0,0.006493506493506494,0.006493506493506494,0.012987012987012988,0.0,0.01948051948051948,0.0,0.03896103896103896,0.461038961038961,0.07792207792207792,0.012987012987012988,0.01948051948051948,0.0,0.11688311688311688
5.0,0.0,0.005780346820809248,0.005780346820809248,0.0,0.011560693641618497,0.011560693641618497,0.03468208092485549,0.0,0.057803468208092484,0.4277456647398844,0.06936416184971098,0.0,0.04046242774566474,0.005780346820809248,0.12138728323699421
6.0,0.007751937984496124,0.0,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.0,0.023255813953488372,0.0,0.03875968992248062,0.4728682170542636,0.09302325581395349,0.023255813953488372,0.007751937984496124,0.015503875968992248,0.08527131782945736
7.0,0.0,0.008264462809917356,0.0,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.024793388429752067,0.0,0.09090909090909091,0.4380165289256198,0.0743801652892562,0.008264462809917356,0.05785123966942149,0.0,0.09917355371900827
8.0,0.0,0.0,0.0,0.010752688172043012,0.03225806451612903,0.010752688172043012,0.03225806451612903,0.0,0.053763440860215055,0.3548387096774194,0.0967741935483871,0.010752688172043012,0.043010752688172046,0.03225806451612903,0.08602150537634409
9.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.43103448275862066,0.1724137931034483,0.0,0.05172413793103448,0.0,0.06896551724137931
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.020833333333333332,0.0625,0.4166666666666667,0.08333333333333333,0.0,0.041666666666666664,0.020833333333333332,0.125
11.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.43478260869565216,0.08695652173913043,0.0,0.0,0.043478260869565216,0.13043478260869565
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.3,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.36363636363636365,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.3333333333333333
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666
21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
